Aalborg,Denmark___+57.09700___+9.85000
Newport_Beach,CA___+33.62000___-117.92700
Newport_News,VA___+36.97670___-76.41830
Newport,KY___+39.08830___-84.49500
Newport,NH___+43.33300___-72.16700
Newport,OR___+44.65000___-124.03300
Newport,RI___+41.48170___-71.31670
Newport,VT___+44.91700___-72.25000
Newton,MA___+42.34830___-71.19000
Newton,NJ___+41.05000___-74.75000
Niagara_Falls,NY___+43.09280___-79.05720
Nice,France___+43.70000___+7.35000
Nicosia,Cyprus___+35.15000___+33.28300
Nitro,WV___+38.41700___-81.83300
Nogales,AZ___+31.33300___-110.91700
Nome,AK___+64.50000___-165.41700
Norco,CA___+33.91833___-117.52800
Norfolk,NE___+42.02830___-97.41670
Norfolk,VA___+36.85280___-76.28920
Norman,OK___+35.21670___-97.44000
North_Bay,ON___+46.32000___-79.46000
North_Olmstead,OH___+41.35000___-81.96670
North_Platte,NE___+41.13830___-100.76200
Northfield,MN___+44.46700___-93.18300
Northport,WA___+48.88300___-117.78300
Northrop_Strip,NM___+32.70000___-106.33000
Northway,AK___+62.97000___-141.93000
Norton,KS___+39.66700___-99.90000
Norton,VA___+36.90000___-82.60000
Norwalk,CA___+33.90170___-118.08000
Norwalk,CT___+41.12330___-73.36500
Norway,ME___+44.18300___-70.58300
Nottingham,England___+52.96670___-1.14990
Nouan,France___+47.50430___+2.00280
Noumea,New_Caledonia___-22.30000___+166.80000
Novi,MI___+42.47500___-83.52500
Nurnberg,BY,Germany___+49.45000___+11.09900
Oak_Park,IL___+41.90000___-87.78320
Oak_Ridge,TN___+36.01170___-84.26670
Oakfield,ME___+46.13300___-68.16700
Oakland,CA___+37.80080___-122.26500
Oakley,KS___+39.13300___-100.81700
Oberlin,OH___+41.26420___-82.25670
Oberpfaffenhofen,Germ___+48.07500___+11.28300
Ocala,FL___+29.18300___-82.15000
Ocean_City,MD___+38.33300___-75.16700
Ocean_Grove,NJ___+40.16700___-74.00000
Oceanside,CA___+33.19830___-117.37700
Odessa,TX___+31.85830___-102.37500
Ogallala,NE___+41.13300___-101.73300
Ogden,UT___+41.22530___-111.97300
Ohakea,New_Zealand___-40.20000___+175.38330
Okinawa,Japan___+26.35000___+127.76670
Oklahoma_City,OK___+35.47390___-97.51780
Olathe,KS___+38.88500___-94.82170
Oldendorf,Germany___+52.29420___+8.54360
Olean,NY___+42.08300___-78.41700
Olympia,WA___+47.03330___-122.96700
Omaha,NE___+41.26170___-95.93720
Ontario,CA___+34.06170___-117.65000
Oostende,Belgium___+51.13000___+2.55000
Opelika,AL___+32.64830___-85.38500
Opheim,MT___+48.85000___-106.31700
Oran,Algeria___+35.76670___-0.74990
Orange_Park,FL___+30.11000___-81.44000
Orange_Park,FL___+30.15860___-81.73300
Orange,CA___+33.78670___-117.85000
Orange,CT___+41.25000___-73.00000
Orangeburg,SC___+33.50000___-80.83300
Orem,UT___+40.31170___-111.70000
Orlando,FL___+28.54500___-81.37720
Orleans,France___+47.91670___+1.93330
Osaka,Japan___+34.78300___+135.45000
Osborne,KS___+39.41700___-98.70000
Oshkosh,WI___+44.02170___-88.54500
Oslo,Norway___+59.93330___+10.68330
Ottawa,ON___+45.42000___-75.67000
Ottumwa,IA___+41.00000___-92.43300
Overland_Park,KS___+38.97000___-94.66670
Owensboro,KY___+37.76830___-87.11330
Oxford,MS___+34.36700___-89.50000
Oxford,NC___+36.28300___-78.58300
Oxnard,CA___+34.20500___-119.17500
Ozark,AR___+35.48300___-93.81700
Paauilo,HI___+20.05000___-155.41700
Pacific_Beach,CA___+32.73330___-117.16700
Pacific,MO___+38.47000___-90.76500
Paducah,KY___+37.08690___-88.59890
Pagan_Island___+18.12444___+145.76860
Pago_Pago,Samoa___-14.33300___-170.71700
Palembang,Indonesia___-2.90000___+104.70000
Palm_City,FL___+27.11000___-80.11000
Palmdale,CA___+34.99590___-118.11700
Palmer,AK___+61.60000___-149.10000
Palo_Alto,CA___+37.44170___-122.16300
Panama_City,FL___+30.13300___-85.65000
Panama_City,Panama___+9.06700___-79.38300
Papeete,Tahiti___-17.56700___-149.61700
Paradise,NV___+36.10000___-115.11700
Paris,France___+48.85000___+2.33330
Paris,IL___+39.58300___-87.66700
Park_Rapids,MN___+46.88300___-95.08300
Park_View,NM___+36.75000___-106.50000
Parkersburg,WV___+39.26670___-81.55830
Parma,OH___+41.38500___-81.71170
Parsons,WV___+39.08300___-79.66700
Pasadena,CA___+34.14560___-118.14500
Pasadena,TX___+29.71330___-95.21170
Pascagoula,MS___+30.35330___-88.54670
Paterson,NJ___+40.91690___-74.17250
Pawtucket,RI___+41.87830___-71.38330
Peace_River,AB___+56.23000___-117.40000
Pearce,Australia___-31.66670___+116.01670
Pembina,ND___+48.96700___-97.25000
Penang,Malaysia___+5.30000___+100.28330
Pendleton,OR___+45.68300___-118.78300
Pensacola,FL___+30.41420___-87.21550
Peoria,IL___+40.69500___-89.59250
Perth_Amboy,NJ___+40.51700___-74.26700
Perth,Australia___-31.83320___+116.16670
Peru,IL___+41.33300___-89.16700
Peshawar,Pakistan___+34.00000___+71.51330
Petersburg,AK___+56.81000___-132.95000
Petersburg,VA___+37.20000___-77.50000
Phenix_City,AL___+32.46330___-85.00330
Philadelphia,PA___+39.94940___-75.15580
Philip,SD___+44.05000___-101.58300
Phoenix,AZ___+33.45330___-112.07400
Phuket,Thailand___+8.11670___+98.31670
Picayune,MS___+30.52500___-89.67830
Pico_Rivera,CA___+34.00000___-118.08300
Pierce,NE___+42.18300___-97.55000
Pierre,SD___+44.37170___-100.34800
Pilot_Hill,CA___+38.82783___-120.97800
Pine_Bluff,AR___+34.22330___-92.01670
Pine_City,MN___+45.83300___-93.01700
Pitcairn_Island___-25.06660___-130.08300
Pittsburgh,PA___+40.43860___-80.00000
Pittsfield,MA___+42.44800___-73.25390
Placerville,CA___+38.70970___-120.68300
Plainfield,NJ___+40.63300___-74.41700
Plaisance,Mauritius___-20.43330___+57.70000
Plano,TX___+33.02000___-96.70000
Plattsburgh_AFB,NY___+44.65000___-73.46670
Plattsburgh,NY___+44.66700___-73.50000
Plymouth,MA___+42.00000___-70.75000
Plymouth,MN___+44.98250___-93.26190
Plymouth,NH___+43.83300___-71.66700
Pocatello,ID___+42.87330___-112.45000
Pocomoke_City,MD___+38.08300___-75.58300
Pohnpei,Micronesia___+6.98472___+158.21530
Point_Hope,AK___+68.30000___-166.63300
Polson,MT___+47.66700___-114.16700
Pomona,CA___+34.06170___-117.75000
Pompano_Beach,FL___+26.23330___-80.12500
Ponca_City,OK___+36.70700___-97.00920
Ponca_City,OK___+36.70700___-97.00920
Ponce,PR___+18.01670___-66.56670
Pontiac,MI___+42.63670___-83.29170
Poplar_Bluff,MO___+36.71700___-90.36700
Poplar,MT___+48.13300___-105.16700
Port_Allen,HI___+21.90000___-159.60600
Port_Arthur,TX___+29.87500___-93.93750
Port_Huron,MI___+43.00000___-82.50000
Port_Moresby,Papua___-9.45000___+147.21670
Port_of_Spain,Trinida___+10.60000___-61.35000
Port_Salerno,FL___+27.20000___-80.20000
Port_Sulphur,LA___+29.46700___-89.68300
Port-au-Prince,Haiti___+18.58330___-72.33320
Portland,ME___+43.65920___-70.25530
Portland,OR___+45.51830___-122.67600
Portsmouth,England___+50.75000___-1.04990
Portsmouth,NH___+43.07500___-70.75670
Portsmouth,OH___+38.75000___-83.00000
Portsmouth,VA___+36.83530___-76.30390
Potomac,MD___+39.03888___-77.17500
Pottstown,PA___+40.25000___-75.66700
Poughkeepsie,NY___+41.75000___-73.91700
Prague,Czech_Rep.___+50.08330___+14.43330
Pratt,KS___+37.38550___-98.43560
Prescott,AZ___+34.54670___-112.47200
Preston,ID___+42.08300___-111.90000
Pretoria,S._Africa___-25.85000___+28.00000
Primghar,IA___+43.05000___-95.35000
Prince_Albert,SK___+55.39670___-111.12500
Prince_George,BC___+53.92000___-122.69000
Prince_Rupert,BC___+54.31000___-130.38000
Princeton,MO___+40.38300___-93.56700
Princeton,NJ___+40.35000___-74.66700
Princeton,WV___+37.35000___-81.08300
Proctor,VT___+43.66700___-73.00000
Prosser,WA___+46.12000___-119.46000
Providence,RI___+41.82550___-71.41140
Provo,UT___+40.23500___-111.65700
Prudhoe_Bay,AK___+70.27000___-148.34000
Pueblo,CO___+38.27140___-104.60900
Puerto_Montt,Chile___-41.43330___-73.10000
Puerto_Real,PR___+18.34170___-65.62140
Putnam,CT___+41.91700___-71.91700
Puyallup,WA___+47.12607___-122.25900
Puyallup,WA___+47.27750___-122.51100
Quakertown,PA___+40.46530___-75.37220
Quebec,PQ___+46.75000___-71.17000
Quincy,MA___+42.25170___-71.00170
Quito,Ecuador___-0.13300___-78.48300
Raanana,Israel___+32.18330___+34.87500
Rabat,Morocco___+34.05000___-6.75000
Racine,WI___+42.73030___-87.78670
Raleigh,NC___+35.77720___-78.63920
Ramstein_AB,Germany___+49.43300___+7.60000
Rancho_Palos_Verdes_CA___+33.76750___-118.40300
Randolph,VT___+43.91700___-72.66700
Rangeley,ME___+45.00000___-70.41700
Rangoon,Myanmar___+16.76670___+96.15000
Rapid_City,SD___+44.08000___-103.22800
Rawalpindi,Pakistan___+33.61700___+73.10000
Rawlins,WY___+41.79000___-107.23800
Reading,PA___+40.33580___-75.92780
Recife,Brazil___-8.13300___-34.93300
Redding,CA___+40.60000___-122.41700
Redondo_Beach,CA___+33.82670___-118.38700
Redwood_City,CA___+37.46670___-122.25000
Regensburg,Germany___+49.12000___+49.02700
Regina,SK___+50.50000___-104.50000
Reims,France___+49.26670___+4.00000
Rennes,France___+48.11670___-1.03320
Reno,NV___+39.52420___-119.81100
Reseda,CA___+34.20000___-118.53300
Rexburg,ID___+43.82330___-111.78500
Reykjavik,Iceland___+64.15000___-21.90000
Rhinelander,WI___+45.65000___-89.41700
Richardson,TX___+32.95330___-96.72500
Richland,WA___+46.28300___-119.31700
Richmond,Australia___-33.60000___+150.78330
Richmond,CA___+37.93670___-122.34700
Richmond,KY___+37.75000___-84.33300
Richmond,UT___+41.91700___-111.83300
Richmond,VA___+37.53750___-77.43580
Rifle,CO___+39.58300___-107.83300
Rio_de_Janeiro,Brazil___-22.45000___-42.71700
Riverside,CA___+33.98000___-117.36500
Riverton,WY___+43.02500___-108.38500
Riyadh,Saudi_Arabia___+24.51670___+46.78330
Roanoke,VA___+37.27030___-79.94550
Robinson,IL___+39.83300___-87.80000
Rochdale,Lanc,England___+53.60000___+2.10000
Rochester_Hills,MI___+42.68330___-83.13330
Rochester,MN___+44.02250___-92.46750
Rochester,NH___+43.30330___-70.97500
Rochester,NY___+43.16140___-77.60580
Rock_Hill,SC___+34.92830___-81.02330
Rock_Springs,WY___+41.58500___-109.22500
Rockford,IL___+42.26860___-89.09670
Rockland,ME___+44.09170___-69.10420
Rockport,MO___+40.41700___-95.50000
Rockville,MD___+39.08000___-77.10000
Rockville,MD___+39.08330___-77.14330
Rockwood,ME___+45.65000___-69.75000
Rocky_Mount,NC___+35.91700___-77.78300
Rogers,AR___+36.28000___-94.28000
Rome,Italy___+41.86670___+12.61670
Roosevelt_Roads,PR___+18.25000___-65.63330
Rosemead,CA___+34.07000___-118.09000
Roseville,CA___+38.58250___-121.49500
Roseville,MI___+42.50330___-82.93670
Rostock,Germany___+54.08300___+12.13300
Roswell,GA___+34.03300___-84.35000
Roswell,NM___+33.39500___-104.52700
Rota_Island___+14.17333___+145.23890
Rotterdam,Netherlands___+51.91670___+4.45000
Rouen,France___+49.41670___+1.08330
Roundup,MT___+46.41700___-108.58300
Rowland_Heights,CA___+34.00000___-117.87500
Royal_Oak,MI___+42.50670___-83.14670
Ruby,AK___+64.63300___-155.36700
Rugby,ND___+48.36700___-100.00000
Rumford,RI___+41.82000___-71.41000
Russell,KS___+38.85000___-98.85000
Ruston,LA___+32.52500___-92.63830
Rutland,VT___+43.60830___-72.97170
S._Portland,ME___+43.63500___-70.25000
Saco,ME___+43.50000___-70.44330
Sacramento,CA___+38.66000___-121.32000
Sacramento,CA___+38.58250___-121.49500
Saginaw,MI___+43.43110___-83.93470
Saginaw,TX___+32.51300___-97.22000
Saipan_Island___+15.12030___+145.73030
Sale,Australia___-38.10000___+147.15000
Salem,MA___+42.51700___-70.90000
Salem,NH___+42.70000___-71.25000
Salem,OR___+44.94000___-123.03300
Salem,WV___+39.25000___-80.58300
Salina,KS___+38.83500___-97.60830
Salina,UT___+39.00000___-111.91700
Salinas,CA___+36.67000___-121.65200
Salisbury,MD___+38.33300___-75.66700
Sallisaw,OK___+35.45000___-94.80000
Salmon,ID___+45.50000___-115.75000
Salt_Lake_City,UT___+40.75640___-111.89100
Salton_City,CA___+33.24000___-115.95000
Salzburg,Austria___+47.78000___+13.00000
Samarrah,Iraq___+34.20000___+43.90500
San_Angelo,TX___+31.46080___-100.43400
San_Antonio,TX___+29.42690___-98.48500
San_Antonio,TX___+29.42690___-98.48500
San_Bernardino,CA___+34.10830___-117.29100
San_Diego,CA___+32.71470___-117.15600
San_Francisco,CA___+37.77750___-122.41100
San_Jose,CA___+37.33780___-121.89000
San_Jose,Costa_Rica___+9.95000___-84.08320
San_Juan,PR___+18.45000___-66.00000
San_Leandro,CA___+37.72500___-122.15500
San_Mateo,CA___+37.56330___-122.32300
San_Pedro,CA___+33.73330___-118.28300
San_Salvador,El_Salv.___+13.70000___-89.11700
Sanders,AZ___+35.21700___-109.33300
Sandersville,GA___+33.00000___-82.46000
Sandhurst,Surry,ENG___+51.34667___-0.80500
Sandpoint,ID___+48.28300___-116.56700
Sanford,ME___+43.44170___-70.77670
Santa_Ana,CA___+33.76330___-117.86500
Santa_Barbara,CA___+34.42170___-119.69900
Santa_Clara,CA___+37.34500___-121.94700
Santa_Cruz,Bolivia___-17.65000___-63.13330
Santa_Fe,NM___+35.68640___-105.93600
Santa_Maria,CA___+34.89890___-120.45600
Santa_Monica,CA___+34.01330___-118.48500
Santa_Rosa,CA___+38.44000___-122.71500
Santa_Rosa,NM___+34.91700___-104.68300
Santiago,Chile___-33.43320___-70.66660
Santo_Domingo,Dom._Re___+18.43670___-69.66690
Sao_Paulo,Brazil___-23.56660___-46.63320
Sapporo,Japan___+43.11700___+141.38300
Sarajevo,Bosnia___+43.83200___+18.33500
Sarasota,FL___+27.33670___-82.53170
Sargent,NE___+41.66700___-99.63300
Saskatoon,Sask.___+52.15000___-106.60000
Sault_Ste._Marie,MI___+46.48300___-84.35000
Savannah,GA___+32.07830___-81.09360
Scarborough,ON___+43.67000___-79.37000
Schaumburg,IL___+42.04000___-88.08000
Schenectady,NY___+42.81170___-73.92830
Schuyler,NE___+41.46700___-97.08300
Scottsdale,AZ___+33.48830___-111.92700
Scranton,PA___+41.40890___-75.66280
Seabrook,TX___+29.56370___-95.02560
Seaford,DE___+38.64170___-75.61170
Seal_Beach,CA___+33.77500___-117.99300
Seattle,WA___+47.60890___-122.33700
Sebastian,FL___+27.84000___-80.49710
Selma,AL___+32.41670___-87.02330
Selter,Germany___+50.36920___+8.26640
Seoul,S._Korea___+37.58330___+127.05000
Sept-Iles,PQ___+50.22000___-66.31000
Seville,Spain___+37.41700___-5.90000
Seward,AK___+60.10000___-149.45000
Seychelles_Is.___-5.00000___+55.00000
Seymour,TN___+35.88330___-83.71660
Shanghai,China___+31.23300___+121.45000
Shannon,Ireland___+52.70000___-8.91700
Shawnee,KS___+39.01330___-94.71500
Sheboygan,WI___+43.76000___-87.74830
Sheffield,England___+53.38330___-1.46660
Shelby,OH___+40.88170___-82.66170
Shelbyville,TN___+35.50000___-86.46700
Sheldon,IA___+43.16700___-95.83300
Shell_Beach,CA___+35.15522___-120.67200
Shemya,AK___+52.71000___+174.12000
Sherbrooke,PQ___+45.40000___-71.77000
Sheridan,WY___+44.79670___-106.96200
Shiraz,Iran___+29.54000___+52.59000
Shoshone,ID___+42.93300___-114.40000
Shreveport,LA___+32.51280___-93.74940
Shungnak,AK___+66.91700___-157.33300
Sibu,Malaysia___+2.35000___+111.83330
Sigonella,Sicily___+37.40000___+14.92500
Silver_Spring,MD___+39.00000___-77.00000
Simi_Valley,CA___+34.26830___-118.77800
Singapore___+1.36670___+103.75000
Sioux_City,IA___+42.49610___-96.40830
Sioux_Falls,SD___+43.54300___-96.72640
Sioux_Lookout,ON___+50.07000___-91.92000
Sioux_Narrows,ON___+49.40000___-94.00000
Sitka,AK___+57.05000___-135.36000
Sittwe,Myanmar___+20.13330___+92.88330
Skokie,IL___+42.04330___-87.74670
Slidell,LA___+30.27500___-89.80170
Smyrna,DE___+39.30280___-75.60670
Soda_Springs,ID___+42.65000___-111.61700
Soeborg,Denmark___+55.42000___+12.35000
Sofia,Bulgaria___+42.71670___+23.33330
Somerset,KY___+37.04000___-84.36000
Somerset,NJ___+40.51000___-74.56000
Somerville,MA___+42.35670___-71.05690
Somerville,MA___+42.38750___-71.10190
Somerville,NJ___+40.56700___-74.61700
Sondrestrom,Gnld.___+67.02000___-50.72000
Sonoma,CA___+38.29830___-122.51300
South_Bend,IN___+41.67580___-86.25030
South_Gate,CA___+33.95500___-118.20500
South_Kauai_VORTAC,HI___+21.90361___-159.53200
Southampton,England___+50.90000___-1.49990
Southampton,NY___+40.88300___-72.40000
Southfield,MI___+42.47500___-83.27670
Southington,CT___+41.63030___-72.87070
Sparks,NV___+39.53830___-119.75300
Spartanburg,SC___+34.95080___-81.93500
Spenard,AK___+61.18830___-149.91700
Spencer,IA___+43.15000___-95.13300
Spokane,WA___+47.65890___-117.42600
Springdale,AR___+36.16700___-94.11700
Springfield,IL___+39.79940___-89.64750
Springfield,MA___+42.10580___-72.59220
Springfield,MO___+37.21750___-93.29220
Springfield,OH___+39.92720___-83.80800
Springfield,OR___+44.05000___-123.02000
Springfield,VT___+43.29670___-72.48170
St-Hubert,Quebec___+45.50000___-73.58000
St._Albans,VT___+44.83300___-73.08300
St._Catherines,ON___+43.10000___-79.12000
St._Charles,MO___+38.78670___-90.48000
St._Clair_Shores,MI___+42.49670___-82.88670
St._Cloud,MN___+45.56670___-94.17330
St._Croix,VI___+17.70000___-64.80000
St._George,UT___+37.08300___-113.66700
St._John's,Nfld.___+47.08000___-52.71000
St._John,NB___+45.34000___-65.96000
St._Joseph,MO___+39.76580___-94.85060
St._Louis_Park,MN___+44.94330___-93.35000
St._Louis,MO___+38.62920___-90.20610
St._Lucia___+13.73330___-60.95000
St._Michales,MD___+38.80000___-76.20000
St._Nazaire,France___+47.30000___-2.21660
St._Paul,MN___+44.95530___-93.10190
St._Petersburg,FL___+27.77170___-82.63860
St._Petersburg,Russia___+59.95000___+30.33330
St._Thomas,VI___+18.33330___-64.96670
Stamford,CT___+41.05250___-73.54000
Stanley,Falkland_Is.___-51.76660___-57.98320
Staten_Island,NY___+40.58330___-74.15000
Statesville,NC___+34.75000___-80.90000
Steamboat_Springs,CO___+40.50000___-106.80000
Sterling_Heights,MI___+42.58330___-83.01670
Sterling,IL___+41.78300___-89.65000
Sterling,VA___+38.94470___-77.45580
Steubenville,OH___+40.36170___-80.61470
Stockholm,ME___+47.08300___-68.13300
Stockholm,Sweden___+59.38330___+18.00000
Stockton,CA___+37.95830___-121.28800
Stony_Brook,NY___+40.92000___-73.13000
Strasbourg,France___+48.54000___+7.62600
Stratford,CT___+41.20000___-73.13330
Sturtevant,WI___+42.70000___-87.90000
Stuttgart,Germany___+48.80000___+9.25000
Sudbury,ON___+46.54000___-80.86000
Suffolk,VA___+36.72830___-76.58000
Sumter,SC___+33.91830___-80.34670
Sun_Valley,CA___+34.25000___-118.37300
Sunnyvale,CA___+37.37670___-122.03300
Sunrise,FL___+26.14750___-80.25400
Superior,WI___+46.72060___-92.10190
Swannanoa,NC___+35.59500___-82.55720
Swift_Current,Sask.___+50.28000___-107.75000
Sydney,Australia___-33.91660___+151.28330
Sydney,NS___+46.14000___-60.08000
Syracuse,NY___+43.05110___-76.15390
Tabriz,Iran___+38.13330___+46.23600
Tacoma,WA___+47.24970___-122.43800
Tahiti___-17.55000___-149.60000
Tai_Tam,Hong_Kong___+22.25000___+114.20000
Taipei,Taiwan___+25.03330___+121.63330
Talara,Peru___-4.56670___-81.25000
Tallahassee,FL___+30.44500___-84.28170
Tampa,FL___+27.94940___-82.45690
Tangier,Morocco___+35.86670___-5.91660
Taora_Island___+8.70830___+171.23330
Taylor,MI___+42.22500___-83.26830
Tegucigalpa,Honduras___+14.06670___-87.21670
Tehran,Iran___+35.75000___+51.50000
Teignmouth,England___+50.55000___+3.51000
Tel_Aviv,Israel___+32.01700___+34.88300
Tempe,AZ___+33.41500___-111.92800
Tengah,Singapore___+1.38330___+103.71670
Tenino,WA___+46.87472___-122.83500
Tern_Island,HI___+23.86720___-166.28800
Terre_Haute,IN___+39.46750___-87.40720
Texarkana,AR___+33.43000___-94.04170
Texarkana,TX___+33.43000___-94.04170
The_Pas,MB___+53.88000___-101.17000
Thibodaux,LA___+29.79500___-90.80670
Thomasville,AL___+31.91700___-87.71700
Thornton,CO___+39.86330___-104.96500
Thousand_Oaks,CA___+34.17170___-118.84000
Thule,Greenland___+76.54000___-68.70000
Thunder_Bay,ON___+48.45000___-89.20000
Tifton,GA___+31.41700___-83.56700
Tillson,NY___+41.83860___-74.07000
Timmins,ON___+48.48000___-81.33000
Tinak,Marshall_Is.___+7.13333___+171.91670
Tinian_Island___+14.99560___+145.61560
Tokyo,Japan___+35.68330___+139.73330
Toledo,OH___+41.65390___-83.54420
Tombstone,AZ___+31.66700___-110.00000
Topeka,KS___+39.05440___-95.67300
Toronto,ON___+43.67000___-79.37000
Torrance,CA___+33.82500___-118.30800
Torrington,CT___+41.83300___-73.16700
Toulouse,France___+43.61670___+1.45000
Tours,France___+47.38330___+0.65000
Townsville,Australia___-19.25000___+146.76670
Trapani,Sicily___+37.90000___+12.48300
Traverse_City,MI___+44.75000___-85.66700
Trenton,NJ___+40.22060___-74.77030
Trinidad,CO___+37.18300___-104.51700
Tripoli,Libya___+32.83330___+13.21670
Trois-Rivieres,PQ___+46.36000___-72.68000
Troy,MI___+42.61000___-83.15000
Troy,MT___+48.46700___-115.93300
Troy,NY___+42.72920___-73.68280
Truk_Atoll,Micronesia___+7.45528___+151.83720
Truth_or_Consequences___+33.16700___-107.33300
Tucker,GA___+33.52000___-84.12000
Tucson,AZ___+32.22080___-110.96900
Tucumcari,NM___+35.18300___-103.71700
Tulsa,OK___+36.15330___-95.99280
Tunis,Tunisia___+36.85000___+10.21700
Tupelo,MS___+34.23300___-88.71700
Tuscaloosa,AL___+33.20500___-87.56670
Twin_Falls,ID___+42.56170___-114.47000
Tyler,TX___+32.34500___-95.30170
Ubon,Thailand___+15.25000___+104.86670
Udon-Thani,Thailand___+17.38330___+102.80000
Uelzen,Germany___+52.97000___+10.52000
Ujung_Pandang,Indones___-5.06670___+119.55000
Unalaska,AK___+53.91000___-166.54000
Union_City,NJ___+40.75330___-74.03830
Union_City,TN___+36.41700___-89.06700
University_City,MO___+38.66000___-90.33330
Upolu_Point,HI___+20.20360___-155.84600
Upolu,HI___+20.26833___-155.86300
Urbana,IL___+40.11170___-88.20170
Utica,NY___+43.10330___-75.22580
Utirik,Marshall_Is.___+11.23330___+169.85000
Vacaville,CA___+38.27000___-121.50000
Val-d'or,PQ___+48.08000___-77.78000
Valdez,AK___+61.13000___-146.28000
Valdosta,GA___+30.83170___-83.27830
Vale,OR___+43.98300___-117.23300
Valentine,NE___+42.86700___-100.56700
Valhalla,NY___+41.81300___-73.77250
Vallejo,CA___+38.11000___-122.25000
Valletta,Malta___+35.83330___+14.48330
Valparaiso,Chile___-33.03320___-71.53320
Van_Buren,ME___+47.15000___-67.96700
Van_Nuys,CA___+34.18330___-118.36700
Vancouver,BC___+49.25000___-123.08000
Vancouver,WA___+45.62500___-122.67000
Vandans,Austria___+47.09920___+9.86340
Vandenberg_AFB,CA___+34.73330___-120.58300
Vaughn,NM___+34.61700___-105.21700
Venice,CA___+33.90000___-118.44200
Venice,Italy___+45.41670___+12.30000
Ventura,CA___+34.28330___-119.30000
Vermillion,SD___+42.78000___-96.92830
Vernal,UT___+40.48300___-109.66700
Vicksburg,MS___+32.34830___-90.87830
Victoria,BC___+48.63000___-123.40000
Victoria,TX___+28.80500___-97.00500
Vienna,Austria___+48.21670___+16.36670
Vineland,NJ___+39.48670___-75.02670
Virginia_Beach,VA___+36.84670___-75.97500
Virginia_Beach,VA___+36.84611___-76.13920
Visalia,CA___+36.33500___-119.29700
Vladivostok,Russia___+43.10000___+131.78330
Vols,Austria___+47.15210___+11.19480
W._Fargo,ND___+46.87170___-96.90330
W._Hartford,CT___+41.75000___-72.74000
W._Springfield,MA___+42.10143___-72.63000
W._Warwick,RI___+41.70830___-71.52500
Wabash,IN___+40.75000___-85.83300
Waco,TX___+31.55330___-97.13330
Wahiawa,HI___+21.50000___-158.03300
Waialua,HI___+21.55000___-158.13300
Waikola,HI___+19.86700___-155.75000
Wailuku,HI___+20.91700___-156.50000
Waimea,HI___+21.93300___-159.63300
Waipahu,HI___+21.33300___-158.03300
Wake_Island___+19.28167___+166.63640
Wakefield,MA___+42.50000___-71.06670
Waldoboro,ME___+44.10000___-69.36700
Walker,LA___+30.44940___-91.18330
Walla_Walla,WA___+46.06890___-118.34000
Wallace,ID___+47.45000___-115.91700
Wallowa,OR___+45.56700___-117.53300
Walnut_Creek,CA___+37.90170___-122.05800
Waltham,MA___+42.37330___-71.23670
Warner_Robins,GA___+32.61670___-83.60170
Warren,MI___+42.50830___-83.02670
Warren,OH___+41.23670___-80.80830
Warren,PA___+41.83300___-79.16700
Warsaw,Poland___+52.58340___+21.08330
Warwick,RI___+41.70170___-71.45830
Wasco,OR___+45.60000___-120.70000
Waseca,MN___+44.07420___-93.49250
Washington_(USNO),DC___+38.92056___-77.06580
Washington,DC___+38.89750___-77.00920
Washington,IL___+40.69300___-89.40000
Waterbury,CT___+41.55360___-73.04190
Waterloo,IA___+42.49440___-92.33890
Waterloo,ON___+43.46000___-80.49000
Watertown,NY___+44.00000___-75.91700
Watertown,SD___+44.90170___-97.11330
Waterville,WA___+47.63300___-120.06700
Waukegan,IL___+42.35830___-87.83330
Waukesha,WI___+43.00220___-88.23670
Wausau,WI___+44.96700___-89.66700
Wauwatosa,WI___+43.05170___-88.00670
Waycross,GA___+31.18300___-82.40000
Wayne,NE___+42.21700___-97.05000
Waynesboro,VA___+38.06250___-78.87500
Waynesburg,PA___+39.93330___-80.23330
Weirs,NH___+43.70000___-71.25000
Weirton,WV___+40.40500___-80.58830
Wellington,N_Zealand___-41.24990___+174.75000
Wells,NV___+41.11700___-115.06700
Wendover,UT___+40.78300___-114.01700
West_Allis,WI___+43.00830___-88.00670
West_Covina,CA___+34.07170___-117.90900
West_Haven,CT___+41.28330___-72.95330
West_Hills,CA___+34.18720___-118.63800
West_Memphis,AR___+35.14670___-90.17670
West_Palm_Beach,FL___+26.71670___-80.05330
Westbrook,ME___+43.67670___-70.36330
Westerly,RI___+41.41700___-71.83300
Westland,MI___+42.29670___-83.38670
Westminster,CA___+33.77500___-117.99300
Westminster,CO___+39.83000___-105.03300
Westminster,MD___+38.56110___-76.99440
Westover_AFB,MA___+42.20000___-72.53330
Weymouth,MA___+42.22170___-70.96500
Wheaton,MD___+39.08300___-77.08300
Wheeler_AFB,HI___+21.48472___-158.04000
Wheeling,WV___+40.06750___-80.72220
Whenuapai,New_Zealand___-36.78330___+174.63330
Whidbey_Is.,WA___+48.30000___-122.65000
White_Plains,NY___+41.03330___-73.76330
Whitehorse,Yukon___+60.71700___-135.06700
Whittier,CA___+33.96670___-118.04200
Wichita_Falls,TX___+33.90940___-98.49110
Wichita,KS___+37.69170___-97.33780
Wickenburg,AZ___+33.96700___-112.73300
Wilder,ID___+43.61050___-116.94200
Wilkes-Barre,PA___+41.24220___-75.88800
